Date,Open,High,Low,Close,Adj Close,Volume
2015-05-01,10.949999809265137,11.600000381469727,9.25,10.050000190734863,10.050000190734863,45820
2015-06-01,9.600000381469727,10.5,9.25,9.75,9.75,27180
2015-07-01,9.5,10.25,9.25,9.449999809265137,9.449999809265137,6960
2015-08-01,9.800000190734863,9.850000381469727,8.0,8.300000190734863,8.300000190734863,11020
2015-09-01,8.0,9.300000190734863,7.400000095367432,8.0,8.0,3840
2015-10-01,8.0,9.850000381469727,7.25,8.649999618530273,8.649999618530273,32140
2015-11-01,9.0,9.199999809265137,6.849999904632568,7.75,7.75,27880
2015-12-01,8.350000381469727,8.5,7.0,7.050000190734863,7.050000190734863,11720
2016-01-01,8.550000190734863,8.550000190734863,4.099999904632568,6.599999904632568,6.599999904632568,39120
2016-02-01,6.550000190734863,7.0,5.599999904632568,6.800000190734863,6.800000190734863,3940
2016-03-01,6.800000190734863,6.949999809265137,3.200000047683716,5.150000095367432,5.150000095367432,33940
2016-04-01,5.550000190734863,5.800000190734863,5.050000190734863,5.300000190734863,5.300000190734863,6480
2016-05-01,5.300000190734863,5.400000095367432,4.349999904632568,5.150000095367432,5.150000095367432,7520
2016-06-01,5.199999809265137,7.099999904632568,4.5,5.800000190734863,5.800000190734863,14260
2016-07-01,5.75,7.849999904632568,4.849999904632568,5.949999809265137,5.949999809265137,175780
2016-08-01,5.900000095367432,6.349999904632568,4.800000190734863,4.849999904632568,4.849999904632568,151780
2016-09-01,4.849999904632568,5.699999809265137,4.550000190734863,4.75,4.75,103560
2016-10-01,4.650000095367432,5.0,4.050000190734863,4.099999904632568,4.099999904632568,8400
2016-11-01,4.050000190734863,4.349999904632568,3.049999952316284,3.6500000953674316,3.6500000953674316,35440
2016-12-01,3.950000047683716,4.25,2.549999952316284,3.1500000953674316,3.1500000953674316,96040
2017-01-01,3.200000047683716,4.199999809265137,2.75,3.25,3.25,210600
2017-02-01,3.25,4.699999809265137,1.940000057220459,2.0,2.0,3921140
2017-03-01,2.009999990463257,2.890000104904175,1.9299999475479126,2.630000114440918,2.630000114440918,2822500
2017-04-01,2.609999895095825,3.1500000953674316,2.319999933242798,2.690000057220459,2.690000057220459,959100
2017-05-01,2.6500000953674316,2.740000009536743,2.4000000953674316,2.640000104904175,2.640000104904175,204600
2017-06-01,2.5899999141693115,4.139999866485596,2.5,3.1600000858306885,3.1600000858306885,307600
2017-07-01,3.4700000286102295,3.8499999046325684,3.0999999046325684,3.4000000953674316,3.4000000953674316,295100
2017-08-01,3.3499999046325684,3.5,2.549999952316284,2.6700000762939453,2.6700000762939453,203500
2017-09-01,2.609999895095825,2.8399999141693115,2.299999952316284,2.4000000953674316,2.4000000953674316,73400
2017-10-01,2.430000066757202,2.859999895095825,2.1600000858306885,2.259999990463257,2.259999990463257,120100
2017-11-01,2.299999952316284,2.940000057220459,2.140000104904175,2.380000114440918,2.380000114440918,131700
2017-12-01,2.609999895095825,2.619999885559082,2.180000066757202,2.2899999618530273,2.2899999618530273,114300
2018-01-01,2.4000000953674316,2.569999933242798,2.180000066757202,2.2200000286102295,2.2200000286102295,173700
2018-02-01,2.2200000286102295,2.240000009536743,1.7300000190734863,1.7899999618530273,1.7899999618530273,119800
2018-03-01,1.7899999618530273,1.899999976158142,1.6200000047683716,1.7300000190734863,1.7300000190734863,137500
2018-04-01,1.7300000190734863,1.8899999856948853,1.5499999523162842,1.5499999523162842,1.5499999523162842,136800
2018-05-01,1.6299999952316284,3.940000057220459,1.5800000429153442,1.8799999952316284,1.8799999952316284,2656000
2018-06-01,1.8799999952316284,2.190000057220459,1.7400000095367432,1.909999966621399,1.909999966621399,489700
2018-07-01,1.8300000429153442,2.640000104904175,1.559999942779541,1.75,1.75,611300
